name,number,hs,packing,,,,,
SHARLU R-ACE FULL SYN 0W20 SP,SH-BL-1379-064,27101912,12 X 1 LTRS,,,,,
SHARLU R-ACE FULL SYN 0W20 SP,SH-BL-1379-131,27101912,4 X 4 LTRS,,,,,
SHARLU R-ACE FULL SYN 10W60 SP,SH-BL-1380-131,27101912,4 X 4 LTRS,,,,,
SHARLU ACE FULL SYN 5W40 SN,SH-BL-1365-172,27101912,24 X 1 LTRS,,,,,
SHARLU ACE FULL SYN 5W40 SN,SH-BL-1365-128,27101912,6 X 4 LTRS,,,,,
SHARLU ACE FULL SYN 5W40 SN,SH-BL-1365-018,27101912,208 LTRS,,,,,
SHARLU ACE FULL SYN 5W30 SN ( Dexos - 1 Gen 2 Compliance ),SH-BL-1351-064,27101912,12 X 1 LTRS,,,,,
SHARLU ACE FULL SYN 5W30 SN ( Dexos - 1 Gen 2 Compliance ),SH-BL-1351-131,27101912,4 X 4 LTRS,,,,,
SHARLU ACE FULL SYN 5W30 SN ( Dexos - 1 Gen 2 Compliance ),SH-BL-1341-018,27101912,208 LTRS,,,,,
SHARLU PRIME SYNTHETIC 10W40 SL,SH-BL-1382-064,27101912,12 X 1 LTRS,,,,,
SHARLU PRIME SYNTHETIC 10W40 SL,SH-BL-1382-131,27101912,4 X 4 LTRS,,,,,
SHARLU PRIME SYNTHETIC 10W40 SL,SH-BL-1382-018,27101912,208 LTRS,,,,,
SHARLU VIGOR 20W50 SL,SH-BL-1313-128,27101912,24 X 1 LTRS,,,,,
SHARLU VIGOR 20W50 SL,SH-BL-1313-131,27101912,4 X 4 LTRS,,,,,
SHARLU VIGOR 20W50 SL,SH-BL-1313-018,27101912,208 LTRS,,,,,
FALCON XMG PLUS 20W50 SL,FA-BL-2060-172,27101912,6 X 4 LTRS,,,,,
SHARLU HITECH 15W40 CI-4,SH-BL-1219-192,27101913,3 X 5 LTRS,,,,,
SHARLU HITECH 15W40 CI-4,SH-BL-9129-094,27101913,20 LTRS,,,,,
SHARLU HITECH 15W40 CI-4,SH-BL-1219-018,27101913,208 LTRS,,,,,
SHARLU SHEILD 20W50 CH-4,SH-BL-9119-130,27101913,4 X 5 LTRS,,,,,
SHARLU SHEILD 20W50 CH-4,SH-BL-9131-094,27101913,20 LTRS,,,,,
SHARLU SHEILD 20W50 CH-4,SH-BL-9131-018,27101913,208 LTRS,,,,,
FALCON XMD ULTRA 20W50 CH-4,FA-BL-1340-214,27101913,3 X 5 LTRS,,,,,
SHARLU ATF - DX III & MER III,SH-BL-0275-128,27101915,24 X 1 LTRS,,,,,
SHARLU ATF - DX III & MER III,SH-BL-0275-172,27101915,6 X 4 LTRS,,,,,
SHARLU ATF - DX III & MER III,,27101915,208 LTRS,,,,,
SHARLU ATF - VI -FULL SYNTHTETIC,SH-BL-1381-131,27101915,4 X 4 LTRS,,,,,
FALCON SUPER ATF TYPE A,FA-BL-0007-128,27101915,24 X 1 LTRS,,,,,
FALCON SUPER ATF TYPE A,FA-BL-0007-064,27101915,12 X 1 LTRS,,,,,
SHARLU TRANSMISSION OIL -TO-4 SAE 30,SH-BL-1205-008,27101914,20 LTRS,,,,,
SHARLU TRANSMISSION OIL -TO-4 SAE 30,SH-BL-1205-008,27101914,208 LTRS,,,,,
SHARLU TRANSMISSION OIL -TO-4 SAE 50,SH-BL-1208-094,27101914,20 LTRS,,,,,
SHARLU TRACTOR TRANSMISSION   FLUID 10W30,SH-BL-1086-094,27101914,20 LTRS,,,,,
FALCON SUPER GEAR OIL - 90 GL-1 ( TIN PACKING ),FA-BL-0090-168,27101914,6 X 4 LTRS,,,,,
FALCON SUPER GEAR OIL - 140 GL-1 ( TIN PACKING ),FA-BL-0087-168,27101914,6 X 4 LTRS,,,,,
SHARLU MP GEAR LUBE 85W90 GL-5,SH-BL-0284-172,27101914,6 X 4 LTRS,,,,,
SHARLU MP GEAR LUBE 85W90 GL-5,SH-BL-0280-094,27101914,20 LTRS,,,,,
SHARLU MP GEAR LUBE 85W140 GL-5,SH-BL-0283-172,27101914,6 X 4 LTRS,,,,,
SHARLU MP GEAR LUBE 85W140 GL-5,SH-BL-0283-094,27101914,20 LTRS,,,,,
SHARLU GEAR GUARD 150,SH-BL-0060-094,27101914,20 LTRS,,,,,
SHARLU GEAR GUARD 220,SH-BL-0061-094,27101914,20 LTRS,,,,,
SHARLU GEAR GUARD 320,SH-BL-0062-094,27101914,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 10W,SH-BL-0224-094,27101995,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 22,SH-BL-0094-094,27101995,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 32,SH-BL-0094-094,27101995,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 46,SH-BL-9128-094,27101995,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 46,,27101995,208 LTRS,,,,,
SHARLU HYDROFLUID AW - 68,SH-BL-9130-094,27101995,20 LTRS,,,,,
SHARLU HYDROFLUID AW - 68,SH-BL-0098-018,27101995,208 LTRS,,,,,
SHARLU COOLANT -25% - GREEN / RED / BLUE,SH-BL-9132/9133/9135-172,,6 X 4 LTRS,,,,,
SHARLU COOLANT -25% - GREEN / RED / BLUE,SH-BL-9132/9133-094,,20 LTRS,,,,,
SHARLU COOLANT -25% - GREEN / RED / BLUE,SH-BL-1256-018,,208 LTRS,,,,,
SHARLU COOLANT -50% - GREEN / RED / BLUE,SH-BL-9126/9127/9136-172,,6 X 4 LTRS,,,,,
SHARLU COOLANT -50% - GREEN / RED / BLUE,SH-BL-9126/9127-094,,20 LTRS,,,,,
SHARLU COOLANT -50% - GREEN / RED / BLUE,SH-BL-9126-172 - 9127-172,,208 LTRS,,,,,
SHARLU COOLANT -40% - GREEN,SH-BL-1255-018,,208 LTRS,,,,,
SHARLU LITHIUM MP # 2 GREASE,SH-NB-0101-022,,15 KGS,,,,,
SHARLU LITHIUM MP # 2 GREASE,,,180 KGS,,,,,
SHARLU LITHIUM MP # 3 GREASE,SH-NB-0038-022,,15 KGS,,,,,
SHARLU WHEEL BEARING GREASE  # 2,SH-NB--0086-022,,15 KGS,,,,,
SHARLU LITHIUM EP # 2 GREASE,SH-NB-0017-022,,15KGS,,,,,
SHARLU MOLY GREASE # 2,SH-NB-0037-022,,15 KGS,,,,,
FALCON SUP CALCIUM GREASE # 3 ( 0.453 KG ),FA-NB-0037-054,,24 X 1 LBS,,,,,
FALCON SUP CALCIUM GREASE # 3 ( 0.906 KG ),FA-NB-0037-056,,24 X 2 LBS,,,,,
FALCON SUP CALCIUM GREASE # 2 / 3,FA-NB-0004-022,,15 KGS,,,,,
SHARLU LITHIUM COMPLEX BLU GREASE # EP-2,SH-NB-0306-022,,15 KGS,,,,,
SHARLU COMPRESSOR OILS - 32 - 46 - 68,SH-BL-0025/0026/0027-008,,20 LTRS,,,,,
SHARLU BRAKE FLUID DOT - 3,SH-NB-0057-047,,24 X 250 ML,,,,,
SHARLU BRAKE FLUID DOT - 4,SH-NB-0085-047,,24 X 250 ML,,,,,
SHARLU BRAKE FLUID DOT - 4,SH-NB-0084-050,,12 X 500 ML,,,,,
SHARLU SOLCUT SOLUBLE CUTTING OIL,SH-BL-0152-008,,20 LTRS,,,,,
SHARLU SOLCUT SOLUBLE CUTTING OIL,SH-BL-0152-018,,208 LTRS,,,,,
SHARLU FLUSHING OILS,SH-BL-0169-131,,4 X 4 LTRS,,,,,
SHARLU ACE 5W/20 (SN) (F.S.) ECAS LOGO ,SH-BL-1399-131,,4 X 4 LTRS,,,,,
